Name|Default|Cheat|Description
r_citadel_render_game|true|Yes|Should you render the main game world
r_citadel_screenspace_particles_full_res|false|No|Render screen space particles at full resolution
r_citadel_see_thru_walls_opacity|0.3|Yes|Opacity scale for see-thru UI
r_citadel_selection_outline2_alpha|0.8|No|Selection Outline Alpha
r_citadel_selection_outline2_fade_pow|1.5|No|Selection Outline Fade Pow
r_citadel_selection_outline2_offset|0.3|No|Selection Outline Offset: -1 for interior, 0 for centered, 1 for exterior.
r_citadel_selection_outline2_width|4|No|Selection Outline Width
r_citadel_shadow_caching_stats|N/A|No|Print information about shadow caching
r_citadel_shadow_caching|true|No|
r_citadel_shadow_quality|1|No|Shadow Quality
r_citadel_shadowdb|2048|No|
r_citadel_ssao_quality|0|No|
r_citadel_ssao_thin_occluder_compensation|0|No|
r_citadel_sun_shadow_slope_scale_depth_bias|1|No|
r_citadel_upscaling|4|No|
r_depth_of_field|true|No|
r_distancefield_enable|true|No|Graphics/Enable Distance Field rendering
r_effects_bloom|true|No|
r_frame_sync_enable|false|No|
r_indirectlighting|true|Yes|Set to use indirect lighting
r_low_latency_trigger_flash|true|No|NVIDIA Low Latency Trigger Flash
r_low_latency|1|No|NVIDIA Low Latency/AMD Anti-Lag 2 (0 = off, 1 = on, 2 = NV-only, on + boost)
r_postprocess_enable|true|No|
r_shadows|false|Yes|
r_shadowtile_waveops|false|No|
r_ssao_bias|0.5|No|
r_ssao_blur|true|No|
r_ssao_radius|30|No|
r_ssao_strength|1.2|No|
r_ssao|false|No|Set to use screen-space ambient occlusion
sc_aggregate_bvh_threshold|128|No|
sc_aggregate_bvh|true|No|
sc_aggregate_debug_draw_meshlets_bounds|false|No|Visualize meshlet bounds and cone axis. Mesh shader only.
sc_aggregate_debug_draw_meshlets|0|No|SceneSystem/Aggregates/Visualize Meshlets
sc_aggregate_debug_visualizer|false|Yes|SceneSystem/Aggregates/Debug Visualizer
sc_aggregate_fragment_merging|true|No|
sc_aggregate_gpu_culling_conservative_bounds|false|No|
sc_aggregate_gpu_culling_show_culled|false|No|SceneSystem/Aggregates/Show GPU Culled Meshes
sc_aggregate_gpu_culling|true|No|Toggles GPU culling of aggregate meshes
sc_aggregate_gpu_occlusion_culling|true|No|
sc_aggregate_gpu_vis_culling|true|No|
sc_aggregate_indirect_draw_compaction_threshold|8|No|Threshold of indirect draws when we will do compaction
sc_aggregate_indirect_draw_compaction|true|No|Use multidrawindirect...count if the driver/hardware supports it
sc_aggregate_instance_streams|true|No|Enable instance streams
sc_aggregate_material_solo||Yes|
sc_aggregate_render_mesh_shader|true|No|Using mesh shaders if available instead of drawcalls
sc_aggregate_rtproxy_debug_visualizer|false|Yes|SceneSystem/Aggregates/RT Proxy Debug Visualizer
sc_aggregate_rtproxy_instanced_geo|true|Yes|
sc_aggregate_rtproxy_unique_geo|true|Yes|
sc_aggregate_show_outside_vis|false|No|
sc_allow_dithered_lod|true|No|Allow use of dithered lod transitions
sc_allow_dynamic_constant_batching|true|No|
sc_allow_precomputed_vismembers|true|No|
sc_allow_write_depth_before_blend|true|No|
sc_barnlight_enable_precomputed_vis|true|No|Enable use of precomputed vis membership for lights (requires map restart)
sc_batch_layer_cb_updates|true|No|
sc_cache_envmap_lpv_lookup|true|No|
sc_clutter_density_full_size|0.0075|No|Screen-size where clutter will be full density
sc_clutter_density_none_size|0.0035|No|Screen-size where clutter will be gone
sc_clutter_desity_override|false|No|
sc_clutter_enable|true|No|SceneSystem/Clutter/Draw Clutter
sc_disableThreading|false|Yes|
sc_disable_baked_lighting|false|No|
sc_disable_culling_boxes|false|Yes|
sc_disable_procedural_layer_rendering|false|Yes|
sc_disable_shadow_fastpath|false|Yes|
sc_disable_spotlight_shadows|true|Yes|
sc_disable_world_materials|false|Yes|
sc_dithered_lod_transition_amt|0.075|No|Percentage of the transition between two lods we will apply a dither
sc_draw_aggregate_meshes|true|No|SceneSystem/Aggregates/Draw Aggregates
sc_dump_lists||Yes|
sc_dumpworld3d|N/A|Yes|Dump the objects in a sceneworld into a 3d geoview buffer (Usage: sc_dumpworld3d &lt;world_index&gt;)
sc_dumpworld|N/A|Yes|Dump a list of the objects in a sceneworld (Usage: sc_dumpworld &lt;world_index&gt;)
sc_enable_discard|true|No|
sc_extended_stats|false|Yes|
sc_fade_distance_scale_override|180|Yes|
sc_force_lod_level|-1|Yes|
sc_force_materials_batchable|false|Yes|
sc_force_single_display_list_per_layer|false|No|
sc_force_translation_in_projection|false|Yes|If enabled, the camera's translation will be included in the projection matrix.
sc_hdr_enabled_override|0|No|Override default setting for HDR rendering. -1 default, 0 NoHdr, 1 Hdr, 2 Hdr 1010102 3 Hdr 111110
sc_imgui_show_debug_log|false|Yes|SceneSystem/Imgui/Show Debug Log
sc_imgui_show_id_stack|false|Yes|SceneSystem/Imgui/Show ID Stack Tool
sc_imgui_show_metrics|false|Yes|SceneSystem/Imgui/Show Metrics
sc_instanced_debug_visualizer|false|Yes|SceneSystem/Instanced/Debug Visualizer
sc_instanced_gpu_culling_show_culled|false|No|SceneSystem/Instanced/Show GPU Culled Meshlets
sc_instanced_material_solo||Yes|
sc_instanced_mesh_enable|true|Yes|SceneSystem/Instanced/Draw Instanced
sc_instanced_mesh_gpu_culling|true|No|Toggles GPU culling of instanced meshes
sc_instanced_mesh_gpu_density_culling|true|No|Toggles density culling (if enabled)
sc_instanced_mesh_gpu_occlusion_culling|true|No|Toggles GPU occlusion of instanced meshes
sc_instanced_mesh_gpu_vis_culling|true|No|Toggles GPU vis of instanced meshes
sc_instanced_mesh_lod_bias_shadow|10|No|Bias for LOD selection of instanced meshes in shadowmaps
sc_instanced_mesh_lod_bias|10|No|Bias for LOD selection of instanced meshes
sc_instanced_mesh_mesh_shader|true|No|Toggles mesh shader rendering for instanced meshes
sc_instanced_mesh_motion_vectors|false|No|Toggles motion vector support for instanced meshes
sc_instanced_mesh_opaque_fade|true|No|Toggles fade support for instanced meshes
sc_instanced_mesh_size_cull_bias_shadow|10|No|Bias for size culling instanced meshes in shadowmaps
sc_instanced_mesh_size_cull_bias|10|No|Bias for size culling of instanced meshes
sc_instanced_mesh_solo||Yes|
sc_keep_all_layers|false|No|
sc_layer_batch_threshold_fullsort|80|No|
sc_layer_batch_threshold|128|No|
sc_list_extradata_allocations|N/A|No|Prints out the overall extra data allocation counts
sc_listworlds|N/A|Yes|List all the active sceneworlds
sc_max_framebuffer_copies_per_layer|1|No|
sc_mesh_backface_culling|true|No|
sc_no_cull|false|No|
sc_no_vis|false|No|
sc_only_render_opaque|false|Yes|
sc_only_render_shadowcasters|false|Yes|
sc_particle_debug_visualizer|false|Yes|SceneSystem/Particles/Debug Visualizer
sc_reject_all_objects|false|Yes|
sc_rendergraph_debug_visualizer|false|No|SceneSystem/RenderGraph Visualizer
sc_screen_size_lod_scale_override|-1|Yes|
sc_setclassflags|N/A|Yes|Low level command to set the flags byte associated with an object class. sc_SetClassFlags &lt;classname&gt; &lt;value&gt;<br>
sc_shadow_depth_bias_clamp|0|No|
sc_shadow_depth_bias_state_override|false|No|
sc_shadow_depth_bias|256|No|
sc_shadow_slopescale_depth_bias|2.13|No|
sc_show_cs_skinning_stats|false|Yes|SceneSystem/Compute Skinning Stats
sc_show_gpu_profiler|false|Yes|SceneSystem/GPU Profiler
sc_show_hair_debug_ui|false|Yes|SceneSystem/Hair Debug UI
sc_show_object_browser|false|Yes|SceneSystem/SceneObject Browser
sc_show_texture_visualizer|false|Yes|SceneSystem/Texture Visualizer
sc_show_view_profiler|false|Yes|SceneSystem/View Profiler
sc_showclasses|N/A|Yes|List the object class names known by scenesystem<br>
sc_skip_traversal|false|Yes|
sc_spew_cmt_usage|false|No|
sc_throw_away_all_layers|false|No|
sc_use_clear_subrect|false|No|
sc_view_profiler_frame_averaging|10|No|
sc_visualize_batches|0|No|color per batch
sc_visualize_sceneobjects|SCENEOBJECT_VIS_NONE|No|SceneSystem/Visualize SceneObject Mode
